facility_name,facility_id,measure_name,number_of_discharges,excess_readmission_ratio,number_of_readmissions
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,210062,READM-30-HIP-KNEE-HRRP,222.0,1.1698,13
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,210062,READM-30-PN-HRRP,459.0,1.0349,82
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-AMI-HRRP,613.0,0.9479,87
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-CABG-HRRP,380.0,0.8066,31
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-COPD-HRRP,396.0,0.8916,59
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-HF-HRRP,802.0,0.9058,145
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-HIP-KNEE-HRRP,1527.0,0.7265,45
UNIVERSITY OF MD ST JOSEPH MEDICAL CENTER,210063,READM-30-PN-HRRP,719.0,0.9718,109
HOLY CROSS GERMANTOWN HOSPITAL,210065,READM-30-COPD-HRRP,80.0,1.0535,21
HOLY CROSS GERMANTOWN HOSPITAL,210065,READM-30-HF-HRRP,167.0,1.0245,39
HOLY CROSS GERMANTOWN HOSPITAL,210065,READM-30-PN-HRRP,229.0,1.033,39
"HEALTHALLIANCE HOSPITALS, INC",220001,READM-30-COPD-HRRP,275.0,1.0669,64
"HEALTHALLIANCE HOSPITALS, INC",220001,READM-30-HF-HRRP,312.0,1.1309,82
"HEALTHALLIANCE HOSPITALS, INC",220001,READM-30-PN-HRRP,444.0,1.0075,69
MOUNT AUBURN HOSPITAL,220002,READM-30-AMI-HRRP,196.0,1.0541,34
MOUNT AUBURN HOSPITAL,220002,READM-30-CABG-HRRP,90.0,1.1558,16
MOUNT AUBURN HOSPITAL,220002,READM-30-COPD-HRRP,277.0,0.994,55
MOUNT AUBURN HOSPITAL,220002,READM-30-HF-HRRP,624.0,1.0746,146
MOUNT AUBURN HOSPITAL,220002,READM-30-HIP-KNEE-HRRP,372.0,1.0304,17
MOUNT AUBURN HOSPITAL,220002,READM-30-PN-HRRP,786.0,0.9727,113
STURDY MEMORIAL HOSPITAL,220008,READM-30-COPD-HRRP,594.0,1.2877,160
STURDY MEMORIAL HOSPITAL,220008,READM-30-HF-HRRP,486.0,0.9988,101
STURDY MEMORIAL HOSPITAL,220008,READM-30-HIP-KNEE-HRRP,318.0,1.1805,19
STURDY MEMORIAL HOSPITAL,220008,READM-30-PN-HRRP,814.0,1.2059,166
LAWRENCE GENERAL HOSPITAL,220010,READM-30-AMI-HRRP,180.0,1.0856,37
LAWRENCE GENERAL HOSPITAL,220010,READM-30-COPD-HRRP,351.0,0.9931,64
LAWRENCE GENERAL HOSPITAL,220010,READM-30-HF-HRRP,636.0,1.0445,149
LAWRENCE GENERAL HOSPITAL,220010,READM-30-PN-HRRP,714.0,1.0839,128
CAMBRIDGE HEALTH ALLIANCE,220011,READM-30-COPD-HRRP,238.0,1.0373,52
CAMBRIDGE HEALTH ALLIANCE,220011,READM-30-HF-HRRP,356.0,0.9613,69
CAMBRIDGE HEALTH ALLIANCE,220011,READM-30-PN-HRRP,270.0,0.9958,44
CAPE COD HEALTHCARE,220012,READM-30-AMI-HRRP,692.0,0.9297,81
CAPE COD HEALTHCARE,220012,READM-30-COPD-HRRP,450.0,1.1247,101
CAPE COD HEALTHCARE,220012,READM-30-HF-HRRP,1008.0,0.936,186
CAPE COD HEALTHCARE,220012,READM-30-HIP-KNEE-HRRP,958.0,1.2697,53
CAPE COD HEALTHCARE,220012,READM-30-PN-HRRP,1785.0,0.9788,271
"COOLEY DICKINSON HOSPITAL INC,THE",220015,READM-30-COPD-HRRP,281.0,1.0264,52
"COOLEY DICKINSON HOSPITAL INC,THE",220015,READM-30-HF-HRRP,412.0,1.0297,82
"COOLEY DICKINSON HOSPITAL INC,THE",220015,READM-30-PN-HRRP,417.0,1.0179,60
BAYSTATE FRANKLIN MEDICAL CENTER,220016,READM-30-COPD-HRRP,194.0,0.9878,37
BAYSTATE FRANKLIN MEDICAL CENTER,220016,READM-30-HF-HRRP,354.0,1.1336,95
BAYSTATE FRANKLIN MEDICAL CENTER,220016,READM-30-PN-HRRP,384.0,1.0002,59
CARNEY HOSPITAL,220017,READM-30-COPD-HRRP,122.0,1.0099,25
CARNEY HOSPITAL,220017,READM-30-HF-HRRP,179.0,1.1176,50
CARNEY HOSPITAL,220017,READM-30-PN-HRRP,234.0,1.0327,39
HARRINGTON MEMORIAL HOSPITAL-1,220019,READM-30-COPD-HRRP,312.0,1.0573,63
HARRINGTON MEMORIAL HOSPITAL-1,220019,READM-30-HF-HRRP,246.0,1.1402,65
HARRINGTON MEMORIAL HOSPITAL-1,220019,READM-30-PN-HRRP,265.0,1.0489,42
SAINT ANNE'S HOSPITAL,220020,READM-30-AMI-HRRP,74.0,0.985,13
SAINT ANNE'S HOSPITAL,220020,READM-30-COPD-HRRP,384.0,1.1054,97
SAINT ANNE'S HOSPITAL,220020,READM-30-HF-HRRP,489.0,1.1266,133
SAINT ANNE'S HOSPITAL,220020,READM-30-HIP-KNEE-HRRP,660.0,1.1989,35
SAINT ANNE'S HOSPITAL,220020,READM-30-PN-HRRP,716.0,1.1964,158
HOLYOKE MEDICAL CENTER,220024,READM-30-AMI-HRRP,69.0,1.0653,17
HOLYOKE MEDICAL CENTER,220024,READM-30-COPD-HRRP,292.0,1.0687,66
HOLYOKE MEDICAL CENTER,220024,READM-30-HF-HRRP,312.0,1.0502,70
HOLYOKE MEDICAL CENTER,220024,READM-30-PN-HRRP,379.0,1.0617,68
ANNA JAQUES HOSPITAL,220029,READM-30-COPD-HRRP,357.0,1.0494,69
ANNA JAQUES HOSPITAL,220029,READM-30-HF-HRRP,343.0,1.1335,90
ANNA JAQUES HOSPITAL,220029,READM-30-HIP-KNEE-HRRP,376.0,1.351,24
ANNA JAQUES HOSPITAL,220029,READM-30-PN-HRRP,505.0,1.0322,79
BAYSTATE WING HOSPITAL,220030,READM-30-COPD-HRRP,212.0,1.0929,52
BAYSTATE WING HOSPITAL,220030,READM-30-HF-HRRP,324.0,1.0656,76
BAYSTATE WING HOSPITAL,220030,READM-30-PN-HRRP,322.0,1.0414,57
BOSTON MEDICAL CENTER,220031,READM-30-AMI-HRRP,148.0,1.0448,28
BOSTON MEDICAL CENTER,220031,READM-30-COPD-HRRP,192.0,1.0059,40
BOSTON MEDICAL CENTER,220031,READM-30-HF-HRRP,685.0,1.0579,165
BOSTON MEDICAL CENTER,220031,READM-30-HIP-KNEE-HRRP,207.0,1.1108,13
BOSTON MEDICAL CENTER,220031,READM-30-PN-HRRP,278.0,1.0296,52
NORTHEAST HOSPITAL CORPORATION,220033,READM-30-AMI-HRRP,260.0,0.9293,37
NORTHEAST HOSPITAL CORPORATION,220033,READM-30-COPD-HRRP,654.0,0.967,122
NORTHEAST HOSPITAL CORPORATION,220033,READM-30-HF-HRRP,978.0,1.111,238
NORTHEAST HOSPITAL CORPORATION,220033,READM-30-HIP-KNEE-HRRP,1006.0,1.142,47
NORTHEAST HOSPITAL CORPORATION,220033,READM-30-PN-HRRP,1266.0,1.0197,208
NORTH SHORE MEDICAL CENTER -,220035,READM-30-AMI-HRRP,191.0,0.9703,24
NORTH SHORE MEDICAL CENTER -,220035,READM-30-COPD-HRRP,727.0,1.1067,168
NORTH SHORE MEDICAL CENTER -,220035,READM-30-HF-HRRP,1377.0,1.0298,311
NORTH SHORE MEDICAL CENTER -,220035,READM-30-HIP-KNEE-HRRP,562.0,1.1759,32
NORTH SHORE MEDICAL CENTER -,220035,READM-30-PN-HRRP,1238.0,0.9968,201
ST ELIZABETH'S MEDICAL CENTER,220036,READM-30-AMI-HRRP,402.0,1.2619,100
ST ELIZABETH'S MEDICAL CENTER,220036,READM-30-CABG-HRRP,336.0,1.0505,51
ST ELIZABETH'S MEDICAL CENTER,220036,READM-30-COPD-HRRP,95.0,1.0456,24
ST ELIZABETH'S MEDICAL CENTER,220036,READM-30-HF-HRRP,461.0,1.1641,127
ST ELIZABETH'S MEDICAL CENTER,220036,READM-30-PN-HRRP,241.0,1.0103,40
BERKSHIRE MEDICAL CENTER,220046,READM-30-AMI-HRRP,109.0,1.0599,24
BERKSHIRE MEDICAL CENTER,220046,READM-30-COPD-HRRP,531.0,1.0183,106
BERKSHIRE MEDICAL CENTER,220046,READM-30-HF-HRRP,1286.0,1.0019,269
BERKSHIRE MEDICAL CENTER,220046,READM-30-HIP-KNEE-HRRP,596.0,0.9601,23
BERKSHIRE MEDICAL CENTER,220046,READM-30-PN-HRRP,1173.0,0.9198,170
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,220049,READM-30-COPD-HRRP,177.0,1.1633,51
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,220049,READM-30-HF-HRRP,252.0,0.9539,45
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,220049,READM-30-PN-HRRP,371.0,1.1065,72
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,220052,READM-30-AMI-HRRP,102.0,0.9968,16
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,220052,READM-30-COPD-HRRP,449.0,1.0215,91
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,220052,READM-30-HF-HRRP,358.0,1.0134,80
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,220052,READM-30-HIP-KNEE-HRRP,231.0,1.099,12
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,220052,READM-30-PN-HRRP,349.0,1.0491,65
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,READM-30-AMI-HRRP,217.0,0.9632,32
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,READM-30-COPD-HRRP,627.0,1.084,144
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,READM-30-HF-HRRP,702.0,1.0453,162
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,READM-30-HIP-KNEE-HRRP,969.0,1.3103,51
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,220060,READM-30-PN-HRRP,1018.0,1.0751,189
LOWELL GENERAL HOSPITAL,220063,READM-30-AMI-HRRP,257.0,0.977,37
LOWELL GENERAL HOSPITAL,220063,READM-30-COPD-HRRP,668.0,1.1646,159
LOWELL GENERAL HOSPITAL,220063,READM-30-HF-HRRP,1177.0,1.0815,273
LOWELL GENERAL HOSPITAL,220063,READM-30-HIP-KNEE-HRRP,624.0,0.8809,20
LOWELL GENERAL HOSPITAL,220063,READM-30-PN-HRRP,1040.0,1.1086,195
BAYSTATE NOBLE HOSPITAL,220065,READM-30-COPD-HRRP,165.0,1.0057,31
BAYSTATE NOBLE HOSPITAL,220065,READM-30-HF-HRRP,190.0,1.0413,42
BAYSTATE NOBLE HOSPITAL,220065,READM-30-PN-HRRP,187.0,1.0273,30
MERCY MEDICAL CTR,220066,READM-30-COPD-HRRP,383.0,1.0672,86
MERCY MEDICAL CTR,220066,READM-30-HF-HRRP,492.0,1.0654,108
MERCY MEDICAL CTR,220066,READM-30-HIP-KNEE-HRRP,283.0,1.1041,14
MERCY MEDICAL CTR,220066,READM-30-PN-HRRP,478.0,1.1179,92
MELROSEWAKEFIELD HEALTHCARE,220070,READM-30-AMI-HRRP,176.0,0.9897,28
MELROSEWAKEFIELD HEALTHCARE,220070,READM-30-COPD-HRRP,497.0,1.1087,113
MELROSEWAKEFIELD HEALTHCARE,220070,READM-30-HF-HRRP,844.0,1.0741,195
MELROSEWAKEFIELD HEALTHCARE,220070,READM-30-HIP-KNEE-HRRP,316.0,1.422,25
MELROSEWAKEFIELD HEALTHCARE,220070,READM-30-PN-HRRP,805.0,1.0232,132
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-AMI-HRRP,831.0,1.0369,146
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-CABG-HRRP,474.0,0.9005,54
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-COPD-HRRP,637.0,0.9219,118
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-HF-HRRP,1992.0,0.9546,444
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-HIP-KNEE-HRRP,1349.0,0.9513,56
MASSACHUSETTS GENERAL HOSPITAL,220071,READM-30-PN-HRRP,1553.0,1.0499,304
MORTON HOSPITAL,220073,READM-30-COPD-HRRP,347.0,1.0425,72
MORTON HOSPITAL,220073,READM-30-HF-HRRP,532.0,1.1447,138
MORTON HOSPITAL,220073,READM-30-PN-HRRP,626.0,1.0821,111
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-AMI-HRRP,969.0,1.0968,172
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-CABG-HRRP,234.0,1.0481,32
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-COPD-HRRP,1925.0,1.1157,442
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-HF-HRRP,2291.0,1.2006,623
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-HIP-KNEE-HRRP,557.0,1.2778,39
SOUTHCOAST HOSPITALS GROUP,220074,READM-30-PN-HRRP,2918.0,1.1493,567
BAYSTATE MEDICAL CENTER,220077,READM-30-AMI-HRRP,1228.0,0.9923,183
BAYSTATE MEDICAL CENTER,220077,READM-30-CABG-HRRP,357.0,0.9413,43
BAYSTATE MEDICAL CENTER,220077,READM-30-COPD-HRRP,710.0,1.075,169
BAYSTATE MEDICAL CENTER,220077,READM-30-HF-HRRP,2131.0,1.0438,489
BAYSTATE MEDICAL CENTER,220077,READM-30-HIP-KNEE-HRRP,1372.0,0.7947,43
BAYSTATE MEDICAL CENTER,220077,READM-30-PN-HRRP,1111.0,1.0667,200
HOLY FAMILY HOSPITAL,220080,READM-30-AMI-HRRP,121.0,1.012,20
HOLY FAMILY HOSPITAL,220080,READM-30-COPD-HRRP,540.0,1.1112,116
HOLY FAMILY HOSPITAL,220080,READM-30-HF-HRRP,875.0,1.1738,220
HOLY FAMILY HOSPITAL,220080,READM-30-HIP-KNEE-HRRP,533.0,0.9068,16
HOLY FAMILY HOSPITAL,220080,READM-30-PN-HRRP,912.0,1.0449,155
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,220083,READM-30-COPD-HRRP,96.0,0.9848,16
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,220083,READM-30-HF-HRRP,366.0,1.034,80
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,220083,READM-30-PN-HRRP,501.0,1.0277,81
EMERSON HOSPITAL -,220084,READM-30-COPD-HRRP,119.0,0.9824,20
EMERSON HOSPITAL -,220084,READM-30-HF-HRRP,277.0,0.8998,42
EMERSON HOSPITAL -,220084,READM-30-PN-HRRP,369.0,0.9628,51
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-AMI-HRRP,818.0,1.1937,179
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-CABG-HRRP,429.0,1.2872,76
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-COPD-HRRP,295.0,0.9396,54
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-HF-HRRP,1399.0,1.0531,340
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-HIP-KNEE-HRRP,591.0,1.1165,32
BETH ISRAEL DEACONESS MEDICAL CENTER,220086,READM-30-PN-HRRP,806.0,1.0708,159
NEW ENGLAND BAPTIST HOSPITAL,220088,READM-30-HIP-KNEE-HRRP,5971.0,0.6761,134
MILFORD REGIONAL MEDICAL CENTER,220090,READM-30-AMI-HRRP,65.0,1.1115,18
MILFORD REGIONAL MEDICAL CENTER,220090,READM-30-COPD-HRRP,472.0,1.0331,95
MILFORD REGIONAL MEDICAL CENTER,220090,READM-30-HF-HRRP,816.0,1.2016,222
MILFORD REGIONAL MEDICAL CENTER,220090,READM-30-HIP-KNEE-HRRP,256.0,1.0611,13
MILFORD REGIONAL MEDICAL CENTER,220090,READM-30-PN-HRRP,746.0,1.0195,123
HEYWOOD HOSPITAL -,220095,READM-30-COPD-HRRP,189.0,1.0191,38
HEYWOOD HOSPITAL -,220095,READM-30-HF-HRRP,275.0,1.0888,69
HEYWOOD HOSPITAL -,220095,READM-30-PN-HRRP,296.0,1.0631,52
NASHOBA VALLEY MEDICAL CENTER,220098,READM-30-COPD-HRRP,146.0,0.9897,24
NASHOBA VALLEY MEDICAL CENTER,220098,READM-30-HF-HRRP,128.0,1.0789,35
NASHOBA VALLEY MEDICAL CENTER,220098,READM-30-PN-HRRP,172.0,0.9712,23
SOUTH SHORE HOSPITAL,220100,READM-30-AMI-HRRP,346.0,1.0263,58
SOUTH SHORE HOSPITAL,220100,READM-30-COPD-HRRP,1193.0,1.1666,277
SOUTH SHORE HOSPITAL,220100,READM-30-HF-HRRP,1624.0,1.0739,370
SOUTH SHORE HOSPITAL,220100,READM-30-HIP-KNEE-HRRP,758.0,1.1038,36
SOUTH SHORE HOSPITAL,220100,READM-30-PN-HRRP,2291.0,1.1119,410
NEWTON-WELLESLEY HOSPITAL,220101,READM-30-AMI-HRRP,74.0,1.0499,18
NEWTON-WELLESLEY HOSPITAL,220101,READM-30-COPD-HRRP,252.0,1.0396,51
NEWTON-WELLESLEY HOSPITAL,220101,READM-30-HF-HRRP,940.0,0.9634,186
NEWTON-WELLESLEY HOSPITAL,220101,READM-30-HIP-KNEE-HRRP,1097.0,0.9281,40
NEWTON-WELLESLEY HOSPITAL,220101,READM-30-PN-HRRP,808.0,0.8974,95
WINCHESTER HOSPITAL,220105,READM-30-AMI-HRRP,61.0,1.0702,15
WINCHESTER HOSPITAL,220105,READM-30-COPD-HRRP,537.0,1.0459,103
WINCHESTER HOSPITAL,220105,READM-30-HF-HRRP,773.0,1.1017,181
WINCHESTER HOSPITAL,220105,READM-30-HIP-KNEE-HRRP,578.0,0.8316,15
WINCHESTER HOSPITAL,220105,READM-30-PN-HRRP,903.0,1.1063,156
BETH ISRAEL DEACONESS HOSPITAL - MILTON,220108,READM-30-PN-HRRP,615.0,1.0682,104
BETH ISRAEL DEACONESS HOSPITAL - MILTON,220108,READM-30-COPD-HRRP,311.0,1.0659,65
BETH ISRAEL DEACONESS HOSPITAL - MILTON,220108,READM-30-HF-HRRP,513.0,1.1697,136
BETH ISRAEL DEACONESS HOSPITAL - MILTON,220108,READM-30-HIP-KNEE-HRRP,949.0,1.2183,52
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-AMI-HRRP,579.0,0.9893,98
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-CABG-HRRP,340.0,0.9982,45
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-COPD-HRRP,278.0,0.9942,63
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-HF-HRRP,1398.0,1.0514,354
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-HIP-KNEE-HRRP,930.0,1.0695,47
BRIGHAM AND WOMEN'S HOSPITAL,220110,READM-30-PN-HRRP,739.0,1.0798,160
GOOD SAMARITAN MEDICAL CENTER,220111,READM-30-COPD-HRRP,531.0,0.9881,97
GOOD SAMARITAN MEDICAL CENTER,220111,READM-30-HF-HRRP,840.0,1.2397,244
GOOD SAMARITAN MEDICAL CENTER,220111,READM-30-HIP-KNEE-HRRP,376.0,1.2733,24
GOOD SAMARITAN MEDICAL CENTER,220111,READM-30-PN-HRRP,910.0,1.054,163
GOOD SAMARITAN MEDICAL CENTER,220111,READM-30-AMI-HRRP,215.0,1.1067,45
TUFTS MEDICAL CENTER,220116,READM-30-AMI-HRRP,288.0,1.0917,61
TUFTS MEDICAL CENTER,220116,READM-30-CABG-HRRP,220.0,0.9692,28
TUFTS MEDICAL CENTER,220116,READM-30-COPD-HRRP,155.0,0.9535,27
TUFTS MEDICAL CENTER,220116,READM-30-HF-HRRP,479.0,1.1205,135
TUFTS MEDICAL CENTER,220116,READM-30-PN-HRRP,334.0,1.0236,65
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,220119,READM-30-COPD-HRRP,262.0,1.0383,59
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,220119,READM-30-HF-HRRP,530.0,1.0487,121
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,220119,READM-30-HIP-KNEE-HRRP,676.0,1.1648,32
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,220119,READM-30-PN-HRRP,433.0,1.0075,74
NORWOOD HOSPITAL,220126,READM-30-AMI-HRRP,130.0,1.0813,25
NORWOOD HOSPITAL,220126,READM-30-COPD-HRRP,408.0,1.1406,101
NORWOOD HOSPITAL,220126,READM-30-HF-HRRP,725.0,1.0412,157
NORWOOD HOSPITAL,220126,READM-30-HIP-KNEE-HRRP,174.0,1.4053,17
NORWOOD HOSPITAL,220126,READM-30-PN-HRRP,633.0,1.031,100
FALMOUTH HOSPITAL,220135,READM-30-AMI-HRRP,112.0,0.9673,18
FALMOUTH HOSPITAL,220135,READM-30-COPD-HRRP,393.0,1.0075,76
FALMOUTH HOSPITAL,220135,READM-30-HF-HRRP,489.0,0.8841,82
FALMOUTH HOSPITAL,220135,READM-30-HIP-KNEE-HRRP,606.0,0.9864,24
FALMOUTH HOSPITAL,220135,READM-30-PN-HRRP,791.0,0.9265,107
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-AMI-HRRP,809.0,1.1036,143
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-CABG-HRRP,216.0,0.8414,19
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-COPD-HRRP,596.0,1.0758,133
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-HF-HRRP,1146.0,1.0315,258
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-HIP-KNEE-HRRP,442.0,1.0579,21
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,220163,READM-30-PN-HRRP,1063.0,1.027,186
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-AMI-HRRP,685.0,1.0993,120
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-CABG-HRRP,210.0,0.8195,18
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-COPD-HRRP,494.0,1.0222,99
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-HF-HRRP,1567.0,1.004,337
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-HIP-KNEE-HRRP,800.0,1.2205,50
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",220171,READM-30-PN-HRRP,1380.0,1.0627,242
METROWEST MEDICAL CENTER,220175,READM-30-AMI-HRRP,134.0,1.0579,27
METROWEST MEDICAL CENTER,220175,READM-30-COPD-HRRP,346.0,1.0432,76
METROWEST MEDICAL CENTER,220175,READM-30-HF-HRRP,628.0,0.96,128
METROWEST MEDICAL CENTER,220175,READM-30-PN-HRRP,511.0,0.927,76
ST VINCENT HOSPITAL,220176,READM-30-AMI-HRRP,167.0,1.02,27
ST VINCENT HOSPITAL,220176,READM-30-COPD-HRRP,436.0,0.9299,75
ST VINCENT HOSPITAL,220176,READM-30-HF-HRRP,723.0,1.0609,173
ST VINCENT HOSPITAL,220176,READM-30-HIP-KNEE-HRRP,493.0,0.9055,17
ST VINCENT HOSPITAL,220176,READM-30-PN-HRRP,664.0,1.0594,123
NANTUCKET COTTAGE HOSPITAL,220177,READM-30-HF-HRRP,52.0,1.0241,12
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,230002,READM-30-AMI-HRRP,288.0,0.9687,46
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,230002,READM-30-COPD-HRRP,651.0,1.0253,146
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,230002,READM-30-HF-HRRP,904.0,0.9857,205
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,230002,READM-30-HIP-KNEE-HRRP,316.0,1.3126,26
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,230002,READM-30-PN-HRRP,701.0,0.9648,116
SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,230003,READM-30-HF-HRRP,84.0,0.9734,14
EMMA L BIXBY MEDICAL CENTER,230005,READM-30-COPD-HRRP,211.0,0.9655,37
EMMA L BIXBY MEDICAL CENTER,230005,READM-30-HF-HRRP,247.0,0.9731,49
EMMA L BIXBY MEDICAL CENTER,230005,READM-30-PN-HRRP,349.0,0.8519,38
THREE RIVERS HEALTH,230015,READM-30-HF-HRRP,70.0,1.0226,16
THREE RIVERS HEALTH,230015,READM-30-PN-HRRP,116.0,0.9384,11
BRONSON METHODIST HOSPITAL,230017,READM-30-AMI-HRRP,355.0,0.9469,45
BRONSON METHODIST HOSPITAL,230017,READM-30-COPD-HRRP,389.0,0.9027,57
BRONSON METHODIST HOSPITAL,230017,READM-30-HF-HRRP,769.0,0.8728,132
BRONSON METHODIST HOSPITAL,230017,READM-30-HIP-KNEE-HRRP,609.0,0.7747,14
BRONSON METHODIST HOSPITAL,230017,READM-30-PN-HRRP,777.0,0.9466,114
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-AMI-HRRP,364.0,0.9726,71
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-CABG-HRRP,84.0,0.9784,12
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-COPD-HRRP,837.0,0.9606,168
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-HF-HRRP,1820.0,1.0158,432
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-HIP-KNEE-HRRP,1187.0,0.9272,47
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",230019,READM-30-PN-HRRP,1152.0,0.9461,193
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-AMI-HRRP,513.0,1.093,116
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-CABG-HRRP,184.0,1.0662,30
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-COPD-HRRP,912.0,1.0839,225
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-HF-HRRP,1153.0,1.0924,307
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-HIP-KNEE-HRRP,660.0,1.0263,34
BEAUMONT HOSPITAL - DEARBORN,230020,READM-30-PN-HRRP,959.0,1.037,189
"LAKELAND HOSPITAL, ST JOSEPH",230021,READM-30-AMI-HRRP,234.0,1.0486,41
"LAKELAND HOSPITAL, ST JOSEPH",230021,READM-30-COPD-HRRP,342.0,0.9136,51
"LAKELAND HOSPITAL, ST JOSEPH",230021,READM-30-HF-HRRP,772.0,0.9329,151
"LAKELAND HOSPITAL, ST JOSEPH",230021,READM-30-HIP-KNEE-HRRP,355.0,0.8523,11
"LAKELAND HOSPITAL, ST JOSEPH",230021,READM-30-PN-HRRP,537.0,0.9189,73
PROMEDICA COLDWATER REGIONAL HOSPITAL,230022,READM-30-COPD-HRRP,331.0,0.966,55
PROMEDICA COLDWATER REGIONAL HOSPITAL,230022,READM-30-HF-HRRP,152.0,1.0008,31
PROMEDICA COLDWATER REGIONAL HOSPITAL,230022,READM-30-PN-HRRP,210.0,0.9615,27
SINAI-GRACE HOSPITAL,230024,READM-30-AMI-HRRP,207.0,1.0967,54
