"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
OLMSTED MEDICAL CENTER,240006,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0390,4.3750,4.2108,Too Few to Report,07/01/2016,06/30/2019
OLMSTED MEDICAL CENTER,240006,MN,READM-30-PN-HRRP,N/A,,0.9796,11.3383,11.5746,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-AMI-HRRP,682,,0.8762,13.7017,15.6383,86,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-CABG-HRRP,285,,0.9505,11.9921,12.6170,33,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-COPD-HRRP,366,,0.9844,19.7786,20.0912,71,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-HF-HRRP,1387,,0.8488,18.7830,22.1293,250,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-HIP-KNEE-HRRP,2169,,0.8130,3.5424,4.3570,73,07/01/2016,06/30/2019
MAYO CLINIC HOSPITAL ROCHESTER,240010,MN,READM-30-PN-HRRP,974,,0.9496,16.0775,16.9311,153,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-COPD-HRRP,N/A,,1.0291,18.2190,17.7042,Too Few to Report,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-HF-HRRP,N/A,,1.0281,18.4661,17.9606,Too Few to Report,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9747,3.8528,3.9526,Too Few to Report,07/01/2016,06/30/2019
NORTHFIELD HOSPITAL,240014,MN,READM-30-PN-HRRP,N/A,,0.9593,13.2466,13.8081,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-COPD-HRRP,N/A,,0.9837,15.8571,16.1206,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-HF-HRRP,N/A,,0.9132,18.4620,20.2158,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9279,4.0120,4.3237,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM IN RED WING,240018,MN,READM-30-PN-HRRP,N/A,,0.9692,15.2217,15.7047,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-COPD-HRRP,N/A,,0.9781,23.5065,24.0319,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-HF-HRRP,N/A,,0.9426,25.3368,26.8793,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH DULUTH,240019,MN,READM-30-PN-HRRP,N/A,,0.9834,16.6744,16.9565,Too Few to Report,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-COPD-HRRP,N/A,,1.0057,18.8930,18.7851,Too Few to Report,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-HF-HRRP,N/A,,0.9728,19.9465,20.5042,Too Few to Report,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.2891,5.0899,3.9485,Too Few to Report,07/01/2016,06/30/2019
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-PN-HRRP,69,,1.0136,16.0524,15.8375,12,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-COPD-HRRP,N/A,,0.9936,17.8949,18.0095,Too Few to Report,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-HF-HRRP,N/A,,0.9353,18.3724,19.6437,Too Few to Report,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SANFORD MEDICAL CENTER WORTHINGTON,240022,MN,READM-30-PN-HRRP,N/A,,0.9430,15.0633,15.9742,Too Few to Report,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-COPD-HRRP,N/A,,0.9780,19.9593,20.4087,Too Few to Report,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-HF-HRRP,87,,0.9353,17.4162,18.6200,11,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.7701,3.0196,3.9211,Too Few to Report,07/01/2016,06/30/2019
ALOMERE HEALTH,240030,MN,READM-30-PN-HRRP,N/A,,0.9526,15.7043,16.4861,Too Few to Report,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-AMI-HRRP,379,,0.8215,12.1290,14.7652,35,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-CABG-HRRP,N/A,,0.8080,10.0547,12.4436,Too Few to Report,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-COPD-HRRP,217,,1.0227,19.8277,19.3882,45,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-HF-HRRP,548,,0.9156,18.9051,20.6470,98,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-HIP-KNEE-HRRP,377,,0.9902,4.2925,4.3352,16,07/01/2016,06/30/2019
ST CLOUD HOSPITAL,240036,MN,READM-30-PN-HRRP,441,,1.0194,16.4776,16.1641,74,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-AMI-HRRP,224,,0.9908,13.6223,13.7487,30,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-CABG-HRRP,N/A,,1.0238,12.4016,12.1137,Too Few to Report,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-COPD-HRRP,165,,1.0334,16.5348,16.0006,30,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-HF-HRRP,488,,1.0364,21.0445,20.3059,105,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-HIP-KNEE-HRRP,403,,1.0100,3.9248,3.8859,16,07/01/2016,06/30/2019
ALLINA UNITED HOSPITAL,240038,MN,READM-30-PN-HRRP,299,,0.9181,13.6247,14.8394,35,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-COPD-HRRP,N/A,,0.9942,17.5838,17.6863,Too Few to Report,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-HF-HRRP,N/A,,0.9514,18.3807,19.3198,Too Few to Report,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,240040,MN,READM-30-PN-HRRP,N/A,,0.9968,13.6205,13.6648,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-COPD-HRRP,104,,0.9657,19.3149,20.0014,17,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-HF-HRRP,298,,0.9993,21.4929,21.5089,64,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.1556,4.8512,4.1981,Too Few to Report,07/01/2016,06/30/2019
MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,240043,MN,READM-30-PN-HRRP,372,,1.0006,16.1184,16.1091,60,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-COPD-HRRP,N/A,,0.9665,17.0558,17.6461,Too Few to Report,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-HF-HRRP,128,,0.9978,18.8568,18.8979,24,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9723,4.1921,4.3115,Too Few to Report,07/01/2016,06/30/2019
WINONA HEALTH SERVICES,240044,MN,READM-30-PN-HRRP,150,,1.0287,16.0383,15.5911,26,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-AMI-HRRP,174,,0.9596,13.3943,13.9586,21,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-CABG-HRRP,N/A,,1.0074,11.1854,11.1034,Too Few to Report,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-COPD-HRRP,180,,0.9873,18.3895,18.6265,32,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-HF-HRRP,192,,1.0860,22.7072,20.9085,49,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-HIP-KNEE-HRRP,626,,0.9822,4.2065,4.2826,26,07/01/2016,06/30/2019
ST LUKES HOSPITAL,240047,MN,READM-30-PN-HRRP,293,,1.0233,16.1786,15.8101,49,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-COPD-HRRP,N/A,,0.9405,15.8635,16.8676,Too Few to Report,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-HF-HRRP,76,,0.9837,19.8068,20.1355,14,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0936,4.4632,4.0813,Too Few to Report,07/01/2016,06/30/2019
FAIRVIEW LAKES HEALTH SERVICES,240050,MN,READM-30-PN-HRRP,128,,1.0022,13.9480,13.9174,18,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-COPD-HRRP,82,,0.9882,20.8013,21.0497,16,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-HF-HRRP,73,,0.9968,20.8360,20.9039,15,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0945,4.1748,3.8144,Too Few to Report,07/01/2016,06/30/2019
LAKE REGION HEALTHCARE CORPORATION,240052,MN,READM-30-PN-HRRP,114,,0.9599,13.7931,14.3689,13,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-AMI-HRRP,163,,0.9920,14.3858,14.5017,23,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-CABG-HRRP,N/A,,0.8454,9.1971,10.8795,Too Few to Report,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-COPD-HRRP,183,,1.0053,17.2408,17.1501,32,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-HF-HRRP,582,,0.9079,17.3575,19.1193,95,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-HIP-KNEE-HRRP,503,,0.8598,3.5354,4.1117,15,07/01/2016,06/30/2019
PARK NICOLLET METHODIST HOSPITAL,240053,MN,READM-30-PN-HRRP,616,,1.0336,14.7358,14.2565,93,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-AMI-HRRP,N/A,,0.9816,12.9794,13.2223,Too Few to Report,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-COPD-HRRP,101,,0.9711,18.3445,18.8911,16,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-HF-HRRP,157,,0.8946,17.8253,19.9264,21,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.8206,3.0421,3.7074,Too Few to Report,07/01/2016,06/30/2019
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-PN-HRRP,166,,1.0593,15.1328,14.2862,29,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-AMI-HRRP,488,,0.9286,13.3511,14.3782,61,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-CABG-HRRP,N/A,,1.0136,12.1058,11.9431,Too Few to Report,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-COPD-HRRP,213,,0.9330,17.3543,18.6000,31,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-HF-HRRP,752,,0.9109,19.1422,21.0139,138,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-HIP-KNEE-HRRP,520,,0.9213,3.9449,4.2820,19,07/01/2016,06/30/2019
ABBOTT NORTHWESTERN HOSPITAL,240057,MN,READM-30-PN-HRRP,362,,1.0795,17.3084,16.0342,68,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-COPD-HRRP,N/A,,0.9987,15.4838,15.5046,Too Few to Report,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-HF-HRRP,N/A,,1.0204,18.4190,18.0499,Too Few to Report,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0225,4.8711,4.7638,Too Few to Report,07/01/2016,06/30/2019
REGINA HOSPITAL,240059,MN,READM-30-PN-HRRP,N/A,,1.0071,14.5363,14.4338,Too Few to Report,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-AMI-HRRP,176,,0.9921,15.5966,15.7201,27,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-CABG-HRRP,70,,1.1259,14.5000,12.8783,13,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-COPD-HRRP,108,,1.0186,19.8026,19.4402,23,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-HF-HRRP,302,,0.9286,19.1110,20.5803,53,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9506,4.5987,4.8375,Too Few to Report,07/01/2016,06/30/2019
ST JOSEPH'S HOSPITAL,240063,MN,READM-30-PN-HRRP,183,,0.9746,15.1672,15.5630,26,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-COPD-HRRP,73,,1.0113,19.2109,18.9967,15,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-HF-HRRP,N/A,,0.9027,18.6142,20.6215,Too Few to Report,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9199,3.6263,3.9422,Too Few to Report,07/01/2016,06/30/2019
GRAND ITASCA CLINIC AND HOSPITAL,240064,MN,READM-30-PN-HRRP,130,,1.0277,15.4928,15.0758,22,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-COPD-HRRP,N/A,,0.9892,17.2461,17.4353,Too Few to Report,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-HF-HRRP,130,,0.9518,17.7486,18.6476,20,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-HIP-KNEE-HRRP,453,,0.8465,3.0991,3.6611,11,07/01/2016,06/30/2019
LAKEVIEW MEMORIAL HOSPITAL,240066,MN,READM-30-PN-HRRP,115,,1.0923,14.8629,13.6070,23,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-COPD-HRRP,N/A,,0.9940,17.4681,17.5740,Too Few to Report,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-HF-HRRP,N/A,,0.9234,18.0609,19.5600,Too Few to Report,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0402,4.0939,3.9356,Too Few to Report,07/01/2016,06/30/2019
OWATONNA HOSPITAL,240069,MN,READM-30-PN-HRRP,N/A,,0.9739,13.2022,13.5563,Too Few to Report,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-COPD-HRRP,N/A,,0.9741,15.5474,15.9610,Too Few to Report,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-HF-HRRP,N/A,,1.0445,18.7370,17.9391,Too Few to Report,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
DISTRICT ONE HOSPITAL,240071,MN,READM-30-PN-HRRP,N/A,,0.9907,14.4063,14.5417,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-AMI-HRRP,N/A,,1.0069,15.7352,15.6274,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-COPD-HRRP,82,,1.0093,18.5598,18.3895,16,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-HF-HRRP,218,,1.0009,20.6146,20.5953,45,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9732,4.2044,4.3201,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,240075,MN,READM-30-PN-HRRP,236,,1.0201,15.9492,15.6353,39,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-COPD-HRRP,N/A,,0.9993,18.5798,18.5928,Too Few to Report,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-HF-HRRP,55,,1.0130,20.3145,20.0541,12,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.0155,4.9286,4.8534,Too Few to Report,07/01/2016,06/30/2019
BUFFALO HOSPITAL,240076,MN,READM-30-PN-HRRP,N/A,,0.9605,14.0732,14.6523,Too Few to Report,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-AMI-HRRP,280,,0.9294,13.6100,14.6443,34,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-CABG-HRRP,N/A,,1.0680,12.2624,11.4812,Too Few to Report,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-COPD-HRRP,154,,0.9925,17.2986,17.4300,26,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-HF-HRRP,499,,0.9706,19.8199,20.4197,97,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-HIP-KNEE-HRRP,515,,1.0693,4.4191,4.1327,24,07/01/2016,06/30/2019
FAIRVIEW SOUTHDALE HOSPITAL,240078,MN,READM-30-PN-HRRP,449,,1.0352,15.5100,14.9821,72,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-AMI-HRRP,84,,0.9724,16.2199,16.6796,12,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-CABG-HRRP,N/A,,1.0587,13.5655,12.8133,Too Few to Report,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-COPD-HRRP,65,,1.0448,23.0694,22.0809,19,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-HF-HRRP,259,,0.9576,22.3423,23.3316,55,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-HIP-KNEE-HRRP,N/A,,0.9856,4.8671,4.9384,Too Few to Report,07/01/2016,06/30/2019
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,MN,READM-30-PN-HRRP,225,,1.0221,20.1793,19.7439,47,07/01/2016,06/30/2019
ESSENTIA HEALTH VIRGINIA,240084,MN,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH VIRGINIA,240084,MN,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ESSENTIA HEALTH VIRGINIA,240084,MN,READM-30-COPD-HRRP,N/A,,0.9940,19.7861,19.9053,Too Few to Report,07/01/2016,06/30/2019
ESSENTIA HEALTH VIRGINIA,240084,MN,READM-30-HF-HRRP,56,,1.0165,19.5758,19.2572,12,07/01/2016,06/30/2019
ESSENTIA HEALTH VIRGINIA,240084,MN,READM-30-HIP-KNEE-HRRP,N/A,,1.1233,4.5610,4.0604,Too Few to Report,07/01/2016,06/30/2019
